

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 13/01/2025 
Time:  	 10:57:27 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 4096 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250113-T105727 
User: 	  
Activity code: 	 14 

PSAU settings:
 Channel in use: 	 0 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,96 
Gain [dB]: 	 32,00 
Threshold [mV]: 	 -200,00 
Channel Temperature [°C]: 	 25,20 
T Compensation:  	 On 
dV/dT 	 54,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 54,87 
Gain [dB]: 	 40,00 
Threshold [mV]: 	 -15,00 
Channel Temperature [°C]: 	 21,30 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 On 
Channel 1 Status: 	 Off 
DC Offset 0: 	 -3 
DC Offset 1: 	 0 
Trigger Mode: 	 TRUE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 40 
Trigger 1 Thresh.: 	 10 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 504 | 64 | 512 
Baseline Mean|Thresh.|NoFlatTime: 	 1024 | 8 | 512 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
494 	21501 	
498 	20278 	
502 	19427 	
506 	18390 	
510 	17710 	
514 	16989 	
518 	16553 	
522 	16463 	
526 	16432 	
530 	16375 	
534 	16621 	
538 	16916 	
542 	17197 	
546 	17915 	
550 	18316 	
554 	19505 	
558 	20337 	
562 	21241 	
566 	22571 	
570 	23797 	
574 	25323 	
578 	27124 	
582 	28807 	
586 	30623 	
590 	32352 	
594 	34432 	
598 	36556 	
602 	39137 	
606 	41028 	
610 	42785 	
614 	45380 	
618 	47798 	
622 	49864 	
626 	52136 	
630 	54583 	
634 	56153 	
638 	58034 	
642 	59241 	
646 	60697 	
650 	61122 	
654 	62175 	
658 	62566 	
662 	63105 	
666 	62378 	
670 	62393 	
674 	61843 	
678 	60753 	
682 	59519 	
686 	57875 	
690 	56223 	
694 	54712 	
698 	52647 	
702 	50107 	
706 	48380 	
710 	45909 	
714 	44124 	
718 	41189 	
722 	39288 	
726 	36958 	
730 	35010 	
734 	33223 	
738 	30859 	
742 	29375 	
746 	27688 	
750 	25710 	
754 	24022 	
758 	22830 	
762 	21190 	
766 	19926 	
770 	18503 	
774 	17422 	
778 	16462 	
782 	15373 	
786 	14413 	
790 	13672 	
794 	12690 	
798 	11918 	
802 	11430 	
806 	10718 	
810 	10113 	
814 	9700 	
818 	9226 	
822 	8642 	
826 	8291 	
830 	7800 	
834 	7411 	
838 	7190 	
842 	6802 	
846 	6675 	
850 	6446 	
854 	6490 	
858 	6088 	
862 	5884 	
866 	5745 	
870 	5681 	
874 	5557 	
878 	5433 	
882 	5557 	
886 	5328 	
890 	5334 	
894 	5056 	
898 	5069 	
902 	5325 	
906 	5158 	
910 	5199 	
914 	5202 	
918 	5231 	
922 	5273 	
926 	5232 	
930 	5232 	
934 	5278 	
938 	5268 	
942 	5369 	
946 	5349 	
950 	5551 	
954 	5582 	
958 	5609 	
962 	5558 	
966 	5674 	
970 	5682 	
974 	5583 	
978 	5591 	
982 	5598 	
986 	5565 	
990 	5413 	
994 	5511 	
998 	5360 	
1002 	5253 	
1006 	4920 	
1010 	4989 	
1014 	4827 	
1018 	4750 	
1022 	4439 	
1026 	4240 	
1030 	4148 	
1034 	3933 	
1038 	3746 	
1042 	3573 	
1046 	3402 	
1050 	3252 	
1054 	3115 	
1058 	2944 	
1062 	2909 	
1066 	2634 	
1070 	2392 	
1074 	2449 	
1078 	2129 	
1082 	2095 	
1086 	1935 	
1090 	1851 	
1094 	1823 	
1098 	1647 	
1102 	1545 	
1106 	1523 	
1110 	1417 	
1114 	1337 	
1118 	1293 	
1122 	1247 	
1126 	1155 	
1130 	1078 	
1134 	1060 	
1138 	1034 	
1142 	1050 	
1146 	897 	
1150 	902 	
1154 	852 	
1158 	842 	
1162 	823 	
1166 	828 	
1170 	761 	
1174 	736 	
1178 	701 	
1182 	725 	
1186 	705 	
1190 	692 	
1194 	646 	
1198 	576 	
1202 	579 	
1206 	595 	
1210 	566 	
1214 	555 	
1218 	579 	
1222 	499 	
1226 	567 	
1230 	515 	
1234 	540 	
1238 	538 	
1242 	528 	
1246 	498 	
1250 	501 	
1254 	494 	
1258 	471 	
1262 	533 	
1266 	440 	
1270 	470 	
1274 	487 	
1278 	523 	
1282 	465 	
1286 	473 	
1290 	468 	
1294 	465 	
1298 	474 	
1302 	437 	
1306 	460 	
1310 	401 	
1314 	412 	
1318 	463 	
1322 	437 	
1326 	380 	
1330 	389 	
1334 	375 	
1338 	379 	
1342 	373 	
1346 	328 	
1350 	310 	
1354 	334 	
1358 	312 	
1362 	315 	
1366 	331 	
1370 	267 	
1374 	255 	
1378 	240 	
1382 	239 	
1386 	232 	
1390 	223 	
1394 	202 	
1398 	187 	
1402 	176 	
1406 	161 	
1410 	188 	
1414 	146 	
1418 	153 	
1422 	128 	
1426 	156 	
1430 	141 	
1434 	141 	
1438 	109 	
1442 	99 	
1446 	114 	
1450 	116 	
1454 	112 	
1458 	103 	
1462 	83 	
1466 	72 	
1470 	85 	
1474 	98 	
1478 	94 	
1482 	85 	
1486 	76 	
1490 	71 	
1494 	85 	
1498 	75 	
1502 	68 	
1506 	66 	
1510 	66 	
1514 	68 	
1518 	56 	
1522 	61 	
1526 	58 	
1530 	61 	
1534 	58 	
1538 	52 	
1542 	45 	
1546 	64 	
1550 	48 	
1554 	47 	
1558 	50 	
1562 	41 	
1566 	53 	
1570 	53 	
1574 	57 	
1578 	43 	
1582 	46 	
1586 	32 	
1590 	40 	
1594 	43 	
1598 	50 	
1602 	45 	
1606 	43 	
1610 	29 	
1614 	38 	
1618 	25 	
1622 	35 	
1626 	40 	
1630 	36 	
1634 	35 	
1638 	31 	
1642 	34 	
1646 	29 	
1650 	27 	
1654 	38 	
1658 	25 	
1662 	27 	
1666 	27 	
1670 	35 	
1674 	24 	
1678 	17 	
1682 	21 	
1686 	31 	
1690 	21 	
1694 	23 	
1698 	23 	
1702 	18 	
1706 	18 	
1710 	16 	
1714 	10 	
1718 	14 	
1722 	13 	
1726 	12 	
1730 	15 	
1734 	7 	
1738 	16 	
1742 	13 	
1746 	13 	
1750 	9 	
1754 	11 	
1758 	11 	
1762 	10 	
1766 	11 	
1770 	5 	
1774 	10 	
1778 	7 	
1782 	10 	
1786 	16 	
1790 	7 	
1794 	7 	
1798 	6 	
1802 	10 	
1806 	7 	
1810 	7 	
1814 	10 	
1818 	5 	
1822 	3 	
1826 	6 	
1830 	9 	
1834 	9 	
1838 	3 	
1842 	8 	
1846 	9 	
1850 	4 	
1854 	5 	
1858 	5 	
1862 	7 	
1866 	6 	
1870 	4 	
1874 	1 	
1878 	4 	
1882 	7 	
1886 	4 	
1890 	3 	
1894 	0 	
1898 	2 	
1902 	5 	
1906 	5 	
1910 	4 	
1914 	3 	
1918 	3 	
1922 	2 	
1926 	1 	
1930 	3 	
1934 	3 	
1938 	1 	
1942 	1 	
1946 	1 	
1950 	4 	
1954 	3 	
1958 	1 	
1962 	1 	
1966 	4 	
1970 	2 	
1974 	7 	
1978 	3 	
1982 	1 	
1986 	3 	
1990 	2 	
1994 	3 	
1998 	3 	
2002 	3 	
2006 	2 	
2010 	5 	
2014 	2 	
2018 	3 	
2022 	0 	
2026 	2 	
2030 	2 	
2034 	0 	
2038 	1 	
2042 	1 	
2046 	0 	
2050 	1 	
2054 	0 	
2058 	0 	
2062 	3 	
2066 	0 	
2070 	1 	
2074 	0 	
2078 	3 	
2082 	0 	
2086 	2 	
2090 	1 	
2094 	3 	
2098 	0 	
2102 	1 	
2106 	0 	
2110 	1 	
2114 	0 	
2118 	1 	
2122 	0 	
2126 	1 	
2130 	1 	
2134 	1 	
2138 	2 	
2142 	2 	
2146 	0 	
2150 	0 	
2154 	0 	
2158 	0 	
2162 	1 	
2166 	0 	
2170 	0 	
2174 	0 	
2178 	2 	
2182 	0 	
2186 	0 	
2190 	1 	
2194 	0 	
2198 	2 	
2202 	1 	
2206 	0 	
2210 	0 	
2214 	0 	
2218 	1 	
2222 	0 	
2226 	0 	
2230 	0 	
2234 	0 	
2238 	1 	
2242 	0 	
2246 	0 	
2250 	0 	
2254 	0 	
2258 	0 	
2262 	3 	
2266 	1 	
2270 	0 	
2274 	1 	
2278 	1 	
2282 	0 	
2286 	2 	
2290 	1 	
2294 	0 	
2298 	1 	
2302 	0 	
2306 	0 	
2310 	0 	
2314 	1 	
2318 	0 	
2322 	0 	
2326 	0 	
2330 	0 	
2334 	0 	
2338 	0 	
2342 	0 	
2346 	1 	
2350 	0 	
2354 	0 	
2358 	0 	
2362 	0 	
2366 	0 	
2370 	0 	
2374 	0 	
2378 	0 	
2382 	0 	
2386 	0 	
2390 	0 	
2394 	1 	
2398 	0 	
2402 	0 	
2406 	0 	
2410 	0 	
2414 	0 	
2418 	0 	
2422 	0 	
2426 	0 	
2430 	0 	
2434 	0 	
2438 	0 	
2442 	0 	
2446 	0 	
2450 	0 	
2454 	0 	
2458 	0 	
2462 	0 	
2466 	0 	
2470 	0 	
2474 	0 	
2478 	0 	
2482 	0 	
2486 	0 	
2490 	0 	
2494 	0 	
2498 	0 	
2502 	0 	
2506 	0 	
2510 	0 	
2514 	0 	
2518 	0 	
2522 	0 	
2526 	0 	
2530 	0 	
2534 	0 	
2538 	0 	
2542 	0 	
2546 	0 	
2550 	0 	
2554 	1 	
2558 	0 	
2562 	0 	
2566 	0 	
2570 	0 	
2574 	0 	
2578 	0 	
2582 	0 	
2586 	0 	
2590 	0 	
2594 	0 	
2598 	0 	
2602 	0 	
2606 	0 	
2610 	0 	
2614 	1 	
2618 	0 	
2622 	0 	
2626 	0 	
2630 	0 	
2634 	0 	
2638 	0 	
2642 	0 	
2646 	0 	
2650 	0 	
2654 	0 	
2658 	0 	
2662 	0 	
2666 	0 	
2670 	0 	
2674 	0 	
2678 	1 	
2682 	0 	
2686 	0 	
2690 	0 	
2694 	0 	
2698 	0 	
2702 	0 	
2706 	0 	
2710 	0 	
2714 	0 	
2718 	0 	
2722 	0 	
2726 	0 	
2730 	0 	
2734 	0 	
2738 	0 	
2742 	0 	
2746 	0 	
2750 	0 	
2754 	0 	
2758 	0 	
2762 	0 	
2766 	0 	
2770 	0 	
2774 	0 	
2778 	0 	
2782 	0 	
2786 	0 	
2790 	0 	
2794 	0 	
2798 	0 	
2802 	0 	
2806 	0 	
2810 	0 	
2814 	0 	
2818 	0 	
2822 	0 	
2826 	0 	
2830 	0 	
2834 	0 	
2838 	0 	
2842 	0 	
2846 	0 	
2850 	0 	
2854 	0 	
2858 	0 	
2862 	0 	
2866 	0 	
2870 	0 	
2874 	0 	
2878 	0 	
2882 	0 	
2886 	0 	
2890 	0 	
2894 	0 	
2898 	0 	
2902 	0 	
2906 	0 	
2910 	0 	
2914 	0 	
2918 	0 	
2922 	0 	
2926 	0 	
2930 	0 	
2934 	0 	
2938 	0 	
2942 	0 	
2946 	0 	
2950 	0 	
2954 	0 	
2958 	0 	
2962 	0 	
2966 	0 	
2970 	0 	
2974 	0 	
2978 	0 	
2982 	0 	
2986 	0 	
2990 	0 	
2994 	0 	
2998 	0 	
3002 	0 	
3006 	0 	
3010 	0 	
3014 	0 	
3018 	0 	
3022 	0 	
3026 	0 	
3030 	0 	
3034 	0 	
3038 	0 	
3042 	0 	
3046 	0 	
3050 	0 	
3054 	0 	
3058 	0 	
3062 	0 	
3066 	0 	
3070 	0 	
3074 	0 	
3078 	0 	
3082 	0 	
3086 	0 	
3090 	0 	
3094 	0 	
3098 	0 	
3102 	0 	
3106 	0 	
3110 	0 	
3114 	0 	
3118 	0 	
3122 	0 	
3126 	0 	
3130 	0 	
3134 	0 	
3138 	0 	
3142 	0 	
3146 	0 	
3150 	0 	
3154 	0 	
3158 	0 	
3162 	0 	
3166 	0 	
3170 	0 	
3174 	0 	
3178 	0 	
3182 	0 	
3186 	0 	
3190 	0 	
3194 	0 	
3198 	0 	
3202 	0 	
3206 	0 	
3210 	0 	
3214 	0 	
3218 	0 	
3222 	0 	
3226 	0 	
3230 	0 	
3234 	0 	
3238 	0 	
3242 	0 	
3246 	0 	
3250 	0 	
3254 	0 	
3258 	0 	
3262 	0 	
3266 	0 	
3270 	0 	
3274 	0 	
3278 	0 	
3282 	0 	
3286 	0 	
3290 	0 	
3294 	0 	
3298 	0 	
3302 	0 	
3306 	0 	
3310 	0 	
3314 	0 	
3318 	0 	
3322 	0 	
3326 	0 	
3330 	0 	
3334 	0 	
3338 	0 	
3342 	0 	
3346 	0 	
3350 	0 	
3354 	0 	
3358 	0 	
3362 	0 	
3366 	0 	
3370 	0 	
3374 	0 	
3378 	0 	
3382 	0 	
3386 	0 	
3390 	0 	
3394 	0 	
3398 	0 	
3402 	0 	
3406 	0 	
3410 	0 	
3414 	0 	
3418 	0 	
3422 	0 	
3426 	0 	
3430 	0 	
3434 	0 	
3438 	0 	
3442 	0 	
3446 	0 	
3450 	0 	
3454 	0 	
3458 	0 	
3462 	0 	
3466 	0 	
3470 	0 	
3474 	0 	
3478 	0 	
3482 	0 	
3486 	0 	
3490 	0 	
3494 	0 	
3498 	0 	
3502 	0 	
3506 	0 	
3510 	0 	
3514 	0 	
3518 	0 	
3522 	0 	
3526 	0 	
3530 	0 	
3534 	0 	
3538 	0 	
3542 	0 	
3546 	0 	
3550 	0 	
3554 	0 	
3558 	0 	
3562 	0 	
3566 	0 	
3570 	0 	
3574 	0 	
3578 	0 	
3582 	0 	
3586 	0 	
3590 	0 	
3594 	0 	
3598 	0 	
3602 	0 	
3606 	0 	
3610 	0 	
3614 	0 	
3618 	0 	
3622 	0 	
3626 	0 	
3630 	0 	
3634 	0 	
3638 	0 	
3642 	0 	
3646 	0 	
3650 	0 	
3654 	0 	
3658 	0 	
3662 	0 	
3666 	0 	
3670 	0 	
3674 	0 	
3678 	0 	
3682 	0 	
3686 	0 	
3690 	0 	
3694 	0 	
3698 	0 	
3702 	0 	
3706 	0 	
3710 	0 	
3714 	0 	
3718 	0 	
3722 	0 	
3726 	0 	
3730 	0 	
3734 	0 	
3738 	0 	
3742 	0 	
3746 	0 	
3750 	0 	
3754 	0 	
3758 	0 	
3762 	0 	
3766 	0 	
3770 	0 	
3774 	0 	
3778 	0 	
3782 	0 	
3786 	0 	
3790 	0 	
3794 	0 	
3798 	0 	
3802 	0 	
3806 	0 	
3810 	0 	
3814 	0 	
3818 	0 	
3822 	0 	
3826 	0 	
3830 	0 	
3834 	0 	
3838 	0 	
3842 	0 	
3846 	0 	
3850 	0 	
3854 	0 	
3858 	0 	
3862 	0 	
3866 	0 	
3870 	0 	
3874 	0 	
3878 	0 	
3882 	0 	
3886 	0 	
3890 	0 	
3894 	0 	
3898 	0 	
3902 	0 	
3906 	0 	
3910 	0 	
3914 	0 	
3918 	0 	
3922 	0 	
3926 	0 	
3930 	0 	
3934 	0 	
3938 	0 	
3942 	0 	
3946 	0 	
3950 	0 	
3954 	0 	
3958 	0 	
3962 	0 	
3966 	0 	
3970 	0 	
3974 	0 	
3978 	0 	
3982 	0 	
3986 	0 	
3990 	0 	
3994 	0 	
3998 	0 	
4002 	0 	
4006 	0 	
4010 	0 	
4014 	0 	
4018 	0 	
4022 	0 	
4026 	0 	
4030 	0 	
4034 	0 	
4038 	0 	
4042 	0 	
4046 	0 	
4050 	0 	
4054 	0 	
4058 	0 	
4062 	0 	
4066 	0 	
4070 	0 	
4074 	0 	
4078 	0 	
4082 	0 	
4086 	0 	
4090 	0 	
4094 	0 	
4098 	0 	
4102 	0 	
4106 	0 	
4110 	0 	
4114 	0 	
4118 	0 	
4122 	0 	
4126 	0 	
4130 	0 	
4134 	0 	
4138 	0 	
4142 	0 	
4146 	0 	
4150 	0 	
4154 	0 	
4158 	0 	
4162 	0 	
4166 	0 	
4170 	0 	
4174 	0 	
4178 	0 	
4182 	0 	
4186 	0 	
4190 	0 	
4194 	0 	
4198 	0 	
4202 	0 	
4206 	0 	
4210 	0 	
4214 	0 	
4218 	0 	
4222 	0 	
4226 	0 	
4230 	0 	
4234 	0 	
4238 	0 	
4242 	0 	
4246 	0 	
4250 	0 	
4254 	0 	
4258 	0 	
4262 	0 	
4266 	0 	
4270 	0 	
4274 	0 	
4278 	0 	
4282 	0 	
4286 	0 	
4290 	0 	
4294 	0 	
4298 	0 	
4302 	0 	
4306 	0 	
4310 	0 	
4314 	0 	
4318 	0 	
4322 	0 	
4326 	0 	
4330 	0 	
4334 	0 	
4338 	0 	
4342 	0 	
4346 	0 	
4350 	0 	
4354 	0 	
4358 	0 	
4362 	0 	
4366 	0 	
4370 	0 	
4374 	0 	
4378 	0 	
4382 	0 	
4386 	0 	
4390 	0 	
4394 	0 	
4398 	0 	
4402 	0 	
4406 	0 	
4410 	0 	
4414 	0 	
4418 	0 	
4422 	0 	
4426 	0 	
4430 	0 	
4434 	0 	
4438 	0 	
4442 	0 	
4446 	0 	
4450 	0 	
4454 	0 	
4458 	0 	
4462 	0 	
4466 	0 	
4470 	0 	
4474 	0 	
4478 	0 	
4482 	0 	
4486 	0 	
4490 	0 	
4494 	0 	
4498 	0 	
4502 	0 	
4506 	0 	
4510 	0 	
4514 	0 	
4518 	0 	
4522 	0 	
4526 	0 	
4530 	0 	
4534 	0 	
4538 	0 	
4542 	0 	
4546 	0 	
4550 	0 	
4554 	0 	
4558 	0 	
4562 	0 	
4566 	0 	
4570 	0 	
4574 	0 	
4578 	0 	
4582 	0 	
4586 	0 	
4590 	0 	
4594 	0 	
4598 	0 	
4602 	0 	
4606 	0 	
4610 	0 	
4614 	0 	
4618 	0 	
4622 	0 	
4626 	0 	
4630 	0 	
4634 	0 	
4638 	0 	
4642 	0 	
4646 	0 	
4650 	0 	
4654 	0 	
4658 	0 	
4662 	0 	
4666 	0 	
4670 	0 	
4674 	0 	
4678 	0 	
4682 	0 	
4686 	0 	
4690 	0 	
4694 	0 	
4698 	0 	
4702 	0 	
4706 	0 	
4710 	0 	
4714 	0 	
4718 	0 	
4722 	0 	
4726 	0 	
4730 	0 	
4734 	0 	
4738 	0 	
4742 	0 	
4746 	0 	
4750 	0 	
4754 	0 	
4758 	0 	
4762 	0 	
4766 	0 	
4770 	0 	
4774 	0 	
4778 	0 	
4782 	0 	
4786 	0 	
4790 	0 	
4794 	0 	
4798 	0 	
4802 	0 	
4806 	0 	
4810 	0 	
4814 	0 	
4818 	0 	
4822 	0 	
4826 	0 	
4830 	0 	
4834 	0 	
4838 	0 	
4842 	0 	
4846 	0 	
4850 	0 	
4854 	0 	
4858 	0 	
4862 	0 	
4866 	0 	
4870 	0 	
4874 	0 	
4878 	0 	
4882 	0 	
4886 	0 	
4890 	0 	
4894 	0 	
4898 	0 	
4902 	0 	
4906 	0 	
4910 	0 	
4914 	0 	
4918 	0 	
4922 	0 	
4926 	0 	
4930 	0 	
4934 	0 	
4938 	0 	
4942 	0 	
4946 	0 	
4950 	0 	
4954 	0 	
4958 	0 	
4962 	0 	
4966 	0 	
4970 	0 	
4974 	0 	
4978 	0 	
4982 	0 	
4986 	0 	
4990 	0 	
4994 	0 	
4998 	0 	
5002 	0 	
5006 	0 	
5010 	0 	
5014 	0 	
5018 	0 	
5022 	0 	
5026 	0 	
5030 	0 	
5034 	0 	
5038 	0 	
5042 	0 	
5046 	0 	
5050 	0 	
5054 	0 	
5058 	0 	
5062 	0 	
5066 	0 	
5070 	0 	
5074 	0 	
5078 	0 	
5082 	0 	
5086 	0 	
5090 	0 	
5094 	0 	
5098 	0 	
5102 	0 	
5106 	0 	
5110 	0 	
5114 	0 	
5118 	0 	
5122 	0 	
5126 	0 	
5130 	0 	
5134 	0 	
5138 	0 	
5142 	0 	
5146 	0 	
5150 	0 	
5154 	0 	
5158 	0 	
5162 	0 	
5166 	0 	
5170 	0 	
5174 	0 	
5178 	0 	
5182 	0 	
5186 	0 	
5190 	0 	
5194 	0 	
5198 	0 	
5202 	0 	
5206 	0 	
5210 	0 	
5214 	0 	
5218 	0 	
5222 	0 	
5226 	0 	
5230 	0 	
5234 	0 	
5238 	0 	
5242 	0 	
5246 	0 	
5250 	0 	
5254 	0 	
5258 	0 	
5262 	0 	
5266 	0 	
5270 	0 	
5274 	0 	
5278 	0 	
5282 	0 	
5286 	0 	
5290 	0 	
5294 	0 	
5298 	0 	
5302 	0 	
5306 	0 	
5310 	0 	
5314 	0 	
5318 	0 	
5322 	0 	
5326 	0 	
5330 	0 	
5334 	0 	
5338 	0 	
5342 	0 	
5346 	0 	
5350 	0 	
5354 	0 	
5358 	0 	
5362 	0 	
5366 	0 	
5370 	0 	
5374 	0 	
5378 	0 	
5382 	0 	
5386 	0 	
5390 	0 	
5394 	0 	
5398 	0 	
5402 	0 	
5406 	0 	
5410 	0 	
5414 	0 	
5418 	0 	
5422 	0 	
5426 	0 	
5430 	0 	
5434 	0 	
5438 	0 	
5442 	0 	
5446 	0 	
5450 	0 	
5454 	0 	
5458 	0 	
5462 	0 	
5466 	0 	
5470 	0 	
5474 	0 	
5478 	0 	
5482 	0 	
5486 	0 	
5490 	0 	
5494 	0 	
5498 	0 	
5502 	0 	
5506 	0 	
5510 	0 	
5514 	0 	
5518 	0 	
5522 	0 	
5526 	0 	
5530 	0 	
5534 	0 	
5538 	0 	
5542 	0 	
5546 	0 	
5550 	0 	
5554 	0 	
5558 	0 	
5562 	0 	
5566 	0 	
5570 	0 	
5574 	0 	
5578 	0 	
5582 	0 	
5586 	0 	
5590 	0 	
5594 	0 	
5598 	0 	
5602 	0 	
5606 	0 	
5610 	0 	
5614 	0 	
5618 	0 	
5622 	0 	
5626 	0 	
5630 	0 	
5634 	0 	
5638 	0 	
5642 	0 	
5646 	0 	
5650 	0 	
5654 	0 	
5658 	0 	
5662 	0 	
5666 	0 	
5670 	0 	
5674 	0 	
5678 	0 	
5682 	0 	
5686 	0 	
5690 	0 	
5694 	0 	
5698 	0 	
5702 	0 	
5706 	0 	
5710 	0 	
5714 	0 	
5718 	0 	
5722 	0 	
5726 	0 	
5730 	0 	
5734 	0 	
5738 	0 	
5742 	0 	
5746 	0 	
5750 	0 	
5754 	0 	
5758 	0 	
5762 	0 	
5766 	0 	
5770 	0 	
5774 	0 	
5778 	0 	
5782 	0 	
5786 	0 	
5790 	0 	
5794 	0 	
5798 	0 	
5802 	0 	
5806 	0 	
5810 	0 	
5814 	0 	
5818 	0 	
5822 	0 	
5826 	0 	
5830 	0 	
5834 	0 	
5838 	0 	
5842 	0 	
5846 	0 	
5850 	0 	
5854 	0 	
5858 	0 	
5862 	0 	
5866 	0 	
5870 	0 	
5874 	0 	
5878 	0 	
5882 	0 	
5886 	0 	
5890 	0 	
5894 	0 	
5898 	0 	
5902 	0 	
5906 	0 	
5910 	0 	
5914 	0 	
5918 	0 	
5922 	0 	
5926 	0 	
5930 	0 	
5934 	0 	
5938 	0 	
5942 	0 	
5946 	0 	
5950 	0 	
5954 	0 	
5958 	0 	
5962 	0 	
5966 	0 	
5970 	0 	
5974 	0 	
5978 	0 	
5982 	0 	
5986 	0 	
5990 	0 	
5994 	0 	
5998 	0 	
6002 	0 	
6006 	0 	
6010 	0 	
6014 	0 	
6018 	0 	
6022 	0 	
6026 	0 	
6030 	0 	
6034 	0 	
6038 	0 	
6042 	0 	
6046 	0 	
6050 	0 	
6054 	0 	
6058 	0 	
6062 	0 	
6066 	0 	
6070 	0 	
6074 	0 	
6078 	0 	
6082 	0 	
6086 	0 	
6090 	0 	
6094 	0 	
6098 	0 	
